publisher_id,video_id,video_duration,video_date
0,75311,3536,2014-12-14 23:52:38
0,30652,3476,2014-03-11 11:15:02
0,68307,1686,2015-07-29 12:37:51
0,61604,1580,2014-08-14 08:29:46
0,60687,512,2015-05-26 08:54:59
0,78946,3087,2014-09-20 01:49:41
0,14426,705,2014-03-15 02:53:08
0,97182,49,2015-09-18 20:59:48
0,11331,3292,2015-08-17 01:32:38
0,82473,2322,2014-01-25 00:47:09
0,20734,800,2014-02-09 20:35:10
0,70775,853,2015-10-30 14:26:56
0,97794,844,2014-03-31 00:53:10
0,58978,573,2015-01-27 21:53:48
0,24327,2330,2015-03-02 07:39:59
0,51502,2221,2014-09-28 13:07:10
0,77669,2979,2015-10-06 00:20:21
1,9161,1415,2014-05-01 19:32:16
1,83196,1348,2015-11-12 21:55:09
1,70809,1129,2014-10-15 11:00:37
1,62186,2420,2015-01-19 17:21:02
1,66294,382,2014-11-14 20:28:20
1,72702,2667,2014-11-23 22:30:15
1,13173,1460,2015-11-23 04:55:11
1,65885,639,2014-06-23 03:18:20
1,27620,480,2014-05-25 01:03:41
1,81906,3352,2014-09-10 13:28:49
1,61433,101,2014-12-01 10:32:56
1,24157,46,2014-05-08 17:29:15
1,77063,3203,2014-11-01 14:09:01
1,28645,2661,2015-06-13 21:30:44
1,34715,1457,2015-03-30 17:00:11
1,57447,147,2015-05-24 14:48:26
1,45350,2367,2014-08-01 05:44:05
1,31721,2022,2015-12-18 08:51:54
1,84080,2622,2015-02-02 07:56:34
1,25903,1085,2014-12-08 19:29:36
1,80524,2161,2014-12-18 23:27:13
1,9102,2392,2014-12-05 09:50:39
1,64326,1065,2015-06-01 20:51:19
1,81493,3475,2014-07-25 13:10:18
2,61050,39,2015-03-14 01:16:23
2,63315,25,2014-05-04 10:56:27
2,77876,1716,2015-08-15 11:36:09
2,61524,1900,2015-08-31 02:17:57
3,53300,3316,2015-08-29 20:57:44
3,44229,1271,2015-09-23 05:43:00
3,71743,1037,2015-03-12 05:47:13
3,81138,218,2015-02-14 11:57:10
3,21949,1225,2014-01-16 22:05:35
3,56057,1676,2015-05-06 20:17:22
3,26583,2236,2015-06-12 08:26:54
3,16464,3303,2014-05-11 09:29:06
3,98622,2148,2014-05-14 05:17:48
3,38746,918,2014-03-07 09:02:07
3,73336,2719,2014-09-20 00:05:54
3,37011,1982,2015-02-16 01:30:03
3,85783,2734,2014-06-23 11:13:40
3,79120,1231,2014-04-25 03:47:31
3,59007,2566,2015-05-29 03:31:49
3,85559,1010,2015-11-07 01:00:29
3,88074,844,2014-12-16 07:52:07
3,66732,1974,2015-01-13 06:15:35
3,66507,3252,2014-08-10 23:46:56
3,56069,2287,2014-07-26 01:55:32
3,1922,181,2015-05-11 03:03:15
3,19343,3529,2014-03-08 18:28:12
3,59169,2847,2015-07-09 20:26:08
3,63220,1638,2015-12-19 17:51:02
3,81795,1052,2015-06-16 03:06:41
3,42121,2689,2014-04-26 10:30:24
3,38147,2664,2014-11-08 00:59:00
3,2381,2919,2015-06-10 06:33:41
3,57547,2061,2015-09-19 02:25:51
4,23942,672,2015-07-11 04:41:45
4,37266,281,2015-03-15 05:56:54
